금융기관코드,군복무크레딧인정기간개월수,소득업무종사여부,연기연금신청개월수,최초수급연령,출산크레딧인정기간개월수,특수직종여부
7,0,N,0,58,0,N
11,0,N,0,62,0,N
11,0,N,0,61,0,N
11,0,N,0,63,0,N
11,0,N,0,62,0,N
20,0,N,0,62,0,N
71,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,66,0,N
11,0,N,0,61,0,N
88,0,N,0,60,0,N
4,0,N,0,62,0,N
4,0,N,0,68,0,N
11,0,N,0,60,0,N
11,0,N,0,64,0,N
11,0,N,0,62,0,N
32,0,N,0,60,0,N
37,0,N,0,60,0,N
4,0,N,0,66,0,N
11,0,N,0,60,0,N
88,0,N,0,64,0,N
20,0,N,0,63,0,N
11,0,N,0,63,0,N
81,0,N,0,58,0,N
81,0,N,0,60,0,N
11,0,N,0,67,0,N
81,0,N,0,64,0,N
11,0,N,0,61,0,N
20,0,N,0,59,0,N
71,0,N,0,59,0,N
11,0,N,0,61,0,N
4,0,N,0,60,0,N
81,0,N,0,64,0,N
4,0,N,0,59,0,N
32,0,N,0,60,0,N
3,0,N,0,60,0,N
20,0,N,0,64,0,N
4,0,N,0,65,0,N
4,0,N,0,64,0,N
11,0,N,0,65,0,N
11,0,N,0,59,0,N
11,0,N,0,59,0,N
11,0,N,0,64,0,N
71,0,N,0,61,0,N
3,0,N,0,58,0,N
11,0,N,0,62,0,N
71,0,N,0,58,0,N
11,0,N,0,65,0,N
3,0,N,0,60,0,N
88,0,N,0,62,0,N
20,0,N,0,61,0,N
11,0,N,0,59,0,N
88,0,N,0,60,0,N
11,0,N,0,58,0,N
11,0,N,0,68,0,N
11,0,N,0,58,0,N
20,0,N,0,65,0,N
11,0,N,0,69,0,N
81,0,N,0,58,0,N
88,0,N,0,63,0,N
20,0,N,0,67,0,N
45,0,N,0,60,0,N
11,0,N,0,63,0,N
11,0,Y,0,62,0,N
4,0,N,0,60,0,N
11,0,N,0,63,0,N
81,0,N,0,59,0,N
81,0,Y,0,62,0,N
45,0,N,0,62,0,N
11,0,N,0,64,0,N
88,0,N,0,60,0,N
88,0,N,0,65,0,N
4,0,N,0,60,0,N
11,0,N,0,67,0,N
11,0,N,0,64,0,N
11,0,N,0,67,0,N
3,0,N,0,61,0,N
81,0,N,0,62,0,N
81,0,N,0,63,0,N
31,0,N,0,62,0,N
32,0,N,0,63,0,N
88,0,N,0,66,0,N
88,0,N,0,69,0,N
11,0,N,0,62,0,N
4,0,N,0,60,0,N
11,0,N,0,66,0,N
11,0,N,0,60,0,N
45,0,N,0,68,0,N
4,0,N,0,63,0,N
11,0,N,0,59,0,N
11,0,N,0,64,0,N
11,0,N,0,66,0,N
11,0,N,0,64,0,N
4,0,N,0,62,0,N
81,0,N,0,60,0,N
11,0,N,0,64,0,N
81,0,N,0,60,0,N
4,0,N,0,63,0,N
11,0,N,0,59,0,N
3,0,N,0,58,0,N
23,0,N,0,64,0,N
11,0,N,0,63,0,N
11,0,N,0,65,0,N
11,0,N,0,63,0,N
71,0,N,0,65,0,N
11,0,N,0,59,0,N
20,0,N,0,61,0,N
45,0,N,0,62,0,N
20,0,N,0,62,0,N
88,0,N,0,60,0,N
31,0,N,0,60,0,N
31,0,N,0,59,0,N
88,0,N,0,60,0,N
11,0,N,0,62,0,N
31,0,N,0,61,0,N
11,0,N,0,60,0,N
20,0,N,0,60,0,N
4,0,N,0,62,0,N
4,0,N,0,59,0,N
11,0,N,0,63,0,N
4,0,N,0,63,0,N
4,0,N,0,65,0,N
81,0,N,0,62,0,N
20,0,N,0,59,0,N
20,0,N,0,63,0,N
71,0,N,0,63,0,N
45,0,N,0,62,0,N
11,0,N,0,59,0,N
20,0,N,0,63,0,N
34,0,N,0,61,0,N
11,0,N,0,63,0,N
37,0,N,0,59,0,N
20,0,N,0,64,0,N
11,0,N,0,61,0,N
88,0,N,0,60,0,N
11,0,N,0,62,0,N
32,0,N,0,63,0,N
20,0,N,0,62,0,N
4,0,N,0,64,0,N
11,0,N,0,62,0,N
32,0,N,0,61,0,N
4,0,N,0,63,0,N
88,0,N,0,65,0,N
11,0,N,0,58,0,N
88,0,N,0,62,0,N
20,0,N,0,59,0,N
11,0,N,0,62,0,N
11,0,N,0,61,0,N
88,0,N,0,62,0,N
4,0,N,0,60,0,N
32,0,N,0,59,0,N
11,0,N,0,65,0,N
81,0,N,0,62,0,N
32,0,N,0,60,0,N
11,0,N,0,59,0,N
11,0,N,0,62,0,N
11,0,N,0,63,0,N
11,0,N,0,64,0,N
4,0,Y,0,62,0,N
11,0,N,0,62,0,N
11,0,N,0,64,0,N
4,0,N,0,62,0,N
20,0,N,0,64,0,N
48,0,N,0,59,0,N
11,0,N,0,65,0,N
11,0,N,0,64,0,N
20,0,N,0,67,0,N
11,0,N,0,62,0,N
11,0,N,0,59,0,N
3,0,N,0,59,0,N
20,0,N,0,64,0,N
11,0,N,0,61,0,N
11,0,N,0,62,0,N
11,0,N,0,62,0,N
4,0,Y,0,61,0,N
88,0,N,0,62,0,N
11,0,N,0,62,0,N
45,0,N,0,65,0,N
4,0,N,0,59,0,N
48,0,N,0,63,0,N
81,0,N,0,59,0,N
4,0,N,0,63,0,N
31,0,N,0,59,0,N
11,0,N,0,63,0,N
4,0,N,0,59,0,N
88,0,N,0,63,0,N
45,0,N,0,67,0,N
81,0,N,0,61,0,N
20,0,N,0,60,0,N
11,0,N,0,67,0,N
4,0,N,0,63,0,N
71,0,N,0,63,0,N
11,0,N,0,68,0,N
11,0,N,0,64,0,N
45,0,N,0,64,0,N
11,0,N,0,67,0,N
3,0,N,0,61,0,N
11,0,N,0,62,0,N
4,0,N,0,64,0,N
11,0,N,0,60,0,N
45,0,N,0,60,0,N
4,0,N,0,66,0,N
11,0,N,0,62,0,N
11,0,N,0,60,0,N
31,0,N,0,66,0,N
88,0,N,0,60,0,N
4,0,N,0,62,0,N
4,0,N,0,61,0,N
20,0,N,0,60,0,N
3,0,N,0,61,0,N
3,0,N,0,62,0,N
45,0,N,0,60,0,N
7,0,N,0,62,0,N
4,0,N,0,59,0,N
45,0,N,0,68,0,N
11,0,N,0,62,0,N
20,0,N,0,61,0,N
81,0,N,0,60,0,N
11,0,N,0,62,0,N
39,0,N,0,62,0,N
20,0,N,0,64,0,N
88,0,N,0,59,0,N
88,0,N,0,64,0,N
88,0,N,0,61,0,N
11,0,N,0,60,0,N
11,0,N,0,61,0,N
90,0,N,0,61,0,N
11,0,N,0,60,0,N
34,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,62,0,N
20,0,N,0,65,0,N
45,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,62,0,N
71,0,N,0,62,0,N
90,0,N,0,60,0,N
11,0,N,0,60,0,N
11,0,N,0,59,0,N
3,0,Y,0,62,0,N
11,0,N,0,62,0,N
11,0,N,0,63,0,N
81,0,N,0,60,0,N
11,0,N,0,60,0,N
11,0,N,0,62,0,N
 ,0,N,0,62,0,N
11,0,N,0,61,0,N
50,0,N,0,59,0,N
81,0,N,0,62,0,N
4,0,N,0,63,0,N
4,0,N,0,61,0,N
11,0,N,0,59,0,N
4,0,N,0,59,0,N
11,0,N,0,63,0,N
88,0,Y,0,60,0,N
11,0,N,0,62,0,N
4,0,N,0,65,0,N
4,0,N,0,62,0,N
4,0,N,0,66,0,N
88,0,N,0,60,0,N
11,0,N,0,63,0,N
88,0,N,0,62,0,N
11,0,N,0,59,0,N
4,0,N,0,66,0,N
88,0,N,0,61,0,N
39,0,N,0,68,0,N
39,0,N,0,63,0,N
4,0,N,0,68,0,N
11,0,Y,0,62,0,N
4,0,N,0,59,0,N
71,0,N,0,62,0,N
11,0,N,0,64,0,N
11,0,N,0,65,0,N
4,0,N,0,61,0,N
11,0,N,0,59,0,N
81,0,N,0,59,0,N
11,0,N,0,62,0,N
11,0,N,0,58,0,N
20,0,N,0,60,0,N
88,0,N,0,60,0,N
11,0,N,0,67,0,N
48,0,N,0,66,0,N
11,0,N,0,58,0,N
45,0,N,0,63,0,N
4,0,N,0,60,0,N
11,0,N,0,59,0,N
11,0,N,0,69,0,N
11,0,N,0,59,0,N
20,0,N,0,59,0,N
45,0,N,0,61,0,N
11,0,N,0,64,0,N
88,0,N,0,60,0,N
4,0,N,0,59,0,N
3,0,N,0,61,0,N
37,0,N,0,63,0,N
20,0,N,0,59,0,N
11,0,N,0,64,0,N
11,0,N,0,67,0,N
20,0,N,0,60,0,N
4,0,N,0,60,0,N
11,0,N,0,58,0,N
31,0,N,0,59,0,N
11,0,N,0,67,0,N
4,0,N,0,64,0,N
20,0,N,0,59,0,N
32,0,N,0,59,0,N
11,0,N,0,62,0,N
4,0,N,0,59,0,N
11,0,N,0,63,0,N
11,0,N,0,66,0,N
88,0,N,0,69,0,N
4,0,N,0,58,0,N
3,0,N,0,59,0,N
71,0,Y,0,62,0,N
4,0,N,0,64,0,N
2,0,N,0,59,0,N
48,0,N,0,68,0,N
20,0,N,0,59,0,N
88,0,N,0,62,0,N
20,0,N,0,60,0,N
20,0,N,0,60,0,N
11,0,N,0,58,0,N
11,0,N,0,60,0,N
4,0,N,0,66,0,N
11,0,N,0,60,0,N
31,0,N,0,60,0,N
81,0,N,0,62,0,N
81,0,N,0,60,0,N
88,0,N,0,61,0,N
88,0,N,0,61,0,N
11,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
4,0,N,0,60,0,N
3,0,N,0,64,0,N
81,0,N,0,59,0,N
11,0,N,0,60,0,N
20,0,N,0,61,0,N
11,0,N,0,67,0,N
45,0,N,0,59,0,N
11,0,N,0,60,0,N
11,0,N,0,62,0,N
11,0,N,0,58,0,N
4,0,N,0,62,0,N
32,0,N,0,60,0,N
4,0,N,0,60,0,N
37,0,N,0,60,0,N
3,0,N,0,60,0,N
71,0,N,0,60,0,N
88,0,N,0,62,0,N
71,0,N,0,61,0,N
88,0,N,0,65,0,N
11,0,N,0,63,0,N
3,0,N,0,64,0,N
11,0,N,0,62,0,N
11,0,N,0,61,0,N
88,0,N,0,60,0,N
45,0,N,0,63,0,N
31,0,N,0,60,0,N
4,0,N,0,61,0,N
11,0,N,0,65,0,N
31,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,68,0,N
3,0,N,0,61,6,N
4,0,N,0,64,0,N
88,0,N,0,61,0,N
23,0,N,0,67,0,N
11,0,N,0,60,0,N
4,0,N,0,71,0,N
4,0,N,0,61,0,N
11,0,N,0,60,0,N
81,0,Y,0,62,0,N
20,0,N,0,61,0,N
4,0,N,0,61,0,N
20,0,N,0,65,0,N
11,0,N,0,65,0,N
4,0,N,0,66,0,N
4,0,Y,0,62,0,N
11,0,N,0,60,0,N
11,0,N,0,64,0,N
11,0,N,0,66,0,N
88,0,N,0,62,0,N
11,0,N,0,62,0,N
11,0,N,0,66,0,N
48,0,N,0,65,0,N
4,0,N,0,62,0,N
4,0,N,0,62,0,N
4,0,N,0,66,0,N
11,0,N,0,62,0,N
45,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
88,0,N,0,58,0,N
11,0,N,0,59,0,N
71,0,N,0,63,0,N
32,0,N,0,60,0,N
11,0,N,0,63,0,N
71,0,N,0,67,0,N
81,0,N,0,61,0,N
11,0,N,0,64,0,N
45,0,N,0,59,0,N
11,0,N,0,60,0,N
11,0,N,0,60,0,N
71,0,N,0,61,0,N
31,0,N,0,58,0,N
32,0,N,0,61,0,N
31,0,N,0,60,0,N
88,0,N,0,60,0,N
4,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
11,0,N,0,62,0,N
4,0,N,0,61,0,N
20,0,N,0,63,0,N
11,0,N,0,67,0,N
31,0,N,0,60,0,N
20,0,N,0,61,0,N
11,0,N,0,64,0,N
4,0,N,0,60,0,N
3,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,63,0,N
4,0,N,0,66,0,N
32,0,N,0,62,0,N
11,0,N,0,65,0,N
88,0,N,0,63,0,N
11,0,N,0,61,0,N
20,0,N,0,62,0,N
11,0,N,0,60,0,N
71,0,N,0,63,0,N
11,0,N,0,62,0,N
4,0,N,0,62,0,N
45,0,N,0,63,0,N
11,0,N,0,64,0,N
20,0,N,0,62,0,N
11,0,N,0,63,0,N
4,0,N,0,64,0,N
92,0,N,0,60,0,N
48,0,N,0,63,0,N
11,0,N,0,60,0,N
32,0,N,0,60,0,N
11,0,N,0,62,0,N
11,0,N,0,60,0,N
88,0,N,0,67,0,N
11,0,N,0,65,0,N
11,0,N,0,60,0,N
88,0,N,0,63,0,N
81,0,N,0,61,0,N
4,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,64,0,N
11,0,N,0,66,0,N
11,0,N,0,62,0,N
11,0,N,0,68,0,N
20,0,N,0,62,0,N
11,0,N,0,64,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
4,0,N,0,62,0,N
37,0,N,0,62,0,N
45,0,N,0,60,0,N
71,0,N,0,61,0,N
11,0,N,0,61,0,N
32,0,N,0,64,0,N
71,0,N,0,60,0,N
20,0,N,0,65,0,N
81,0,N,0,69,0,N
11,0,N,0,66,0,N
11,0,N,0,60,0,N
11,0,N,0,62,0,N
11,0,N,0,59,0,N
3,0,N,0,61,0,N
11,0,N,0,66,0,N
11,0,N,0,64,0,N
11,0,N,0,66,0,N
45,0,N,0,59,0,N
4,0,N,0,65,0,N
31,0,N,0,58,0,N
71,0,N,0,58,0,N
3,0,N,0,61,0,N
11,0,N,0,64,0,N
4,0,N,0,66,0,N
11,0,N,0,68,0,N
11,0,N,0,61,0,N
81,0,N,0,62,0,N
11,0,N,0,62,0,N
20,0,N,0,58,0,N
3,0,N,0,60,0,N
4,0,N,0,62,0,N
32,0,N,0,63,0,N
11,0,N,0,63,0,N
4,0,N,0,65,0,N
3,0,N,0,66,0,N
11,0,N,0,63,0,N
11,0,N,0,62,0,N
20,0,N,0,62,0,N
4,0,N,0,59,0,N
11,0,N,0,62,0,N
11,0,N,0,62,0,N
3,0,N,0,58,0,N
45,0,N,0,62,0,N
20,0,N,0,61,0,N
81,0,N,0,60,0,N
20,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
88,0,N,0,62,0,N
39,0,N,0,61,0,N
11,0,N,0,60,0,N
4,0,N,0,60,0,N
31,0,N,0,59,0,N
32,0,N,0,60,0,N
4,0,N,0,68,0,N
88,0,N,0,61,0,N
81,0,N,0,60,0,N
20,0,N,0,62,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
39,0,N,0,62,0,N
4,0,N,0,61,0,N
11,0,N,0,59,0,N
39,0,N,0,61,0,N
71,0,N,0,61,0,N
20,0,N,0,61,0,N
20,0,N,0,62,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
45,0,N,0,60,0,N
4,0,N,0,62,0,N
39,0,N,0,58,0,N
11,0,N,0,62,0,N
11,0,N,0,59,0,N
81,0,N,0,60,0,N
4,0,N,0,61,0,N
90,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,62,0,N
4,0,N,0,60,0,N
81,0,N,0,62,0,N
20,0,N,0,60,0,N
81,0,Y,0,62,0,N
4,0,N,0,59,0,N
88,0,N,0,61,0,N
88,0,N,0,60,0,N
88,0,N,0,60,0,N
11,0,N,0,59,0,N
11,0,N,0,60,0,N
39,0,N,0,61,0,N
45,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
4,0,N,0,61,0,N
32,0,N,0,63,0,N
39,0,N,0,61,0,N
88,0,N,0,60,0,N
45,0,N,0,61,0,N
4,0,N,0,60,0,N
20,0,N,0,62,0,N
11,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,62,0,N
31,0,N,0,61,0,N
11,0,N,0,64,0,N
11,0,N,0,62,0,N
4,0,N,0,64,0,N
11,0,N,0,64,0,N
11,0,N,0,66,0,N
4,0,N,0,61,0,N
11,0,N,0,61,0,N
88,0,N,0,61,0,N
31,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,63,0,N
11,0,N,0,62,0,N
88,0,N,0,59,0,N
90,0,N,0,61,0,N
71,0,N,0,60,0,N
11,0,N,0,61,0,N
4,0,N,0,64,0,N
4,0,N,0,60,0,N
88,0,Y,0,62,0,N
4,0,N,0,62,0,N
11,0,N,0,61,0,N
11,0,N,0,67,0,N
11,0,N,0,62,0,N
4,0,N,0,65,0,N
11,0,N,0,60,0,N
4,0,N,0,62,0,N
88,0,N,0,61,0,N
32,0,N,0,62,0,N
11,0,N,0,59,0,N
34,0,N,0,68,0,N
4,0,N,0,63,0,N
11,0,N,0,63,0,N
11,0,N,0,62,0,N
20,0,N,0,63,0,N
48,0,N,0,66,0,N
11,0,N,0,66,0,N
11,0,N,0,59,0,N
88,0,N,0,61,0,N
88,0,N,0,60,0,N
71,0,N,0,63,0,N
11,0,N,0,60,0,N
4,0,N,0,61,0,N
81,0,N,0,61,0,N
11,0,N,0,65,0,N
20,0,N,0,61,0,N
11,0,N,0,59,0,N
4,0,N,0,66,0,N
11,0,N,0,60,0,N
4,0,N,0,59,0,N
4,0,N,0,61,0,N
81,0,N,0,64,0,N
71,0,N,0,61,0,N
11,0,N,0,59,0,N
11,0,N,0,61,0,N
11,0,N,0,62,0,N
20,0,N,0,62,0,N
71,0,N,0,62,0,N
4,0,N,0,62,0,N
4,0,N,0,60,0,N
11,0,N,0,60,0,N
11,0,N,0,62,0,N
88,0,N,0,61,0,N
4,0,N,0,63,0,N
32,0,N,0,61,0,N
11,0,N,0,62,0,N
11,0,N,0,59,0,N
81,0,N,0,62,0,N
11,0,N,0,61,0,N
11,0,N,0,59,0,N
88,0,N,0,59,0,N
88,0,N,0,62,0,N
39,0,N,0,61,0,N
11,0,N,0,66,0,N
88,0,N,0,66,0,N
11,0,N,0,58,0,N
11,0,N,0,69,0,N
11,0,N,0,66,0,N
11,0,N,0,59,0,N
39,0,N,0,58,0,N
4,0,N,0,64,0,N
4,0,N,0,67,0,N
4,0,N,0,60,0,N
4,0,N,0,64,0,N
71,0,N,0,61,0,N
20,0,N,0,66,0,N
4,0,N,0,60,0,N
11,0,N,0,60,0,N
11,0,N,0,64,0,N
4,0,N,0,62,0,N
11,0,N,0,67,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,64,0,N
4,0,N,0,62,0,N
11,0,N,0,62,0,N
20,0,N,0,61,0,N
20,0,N,0,67,0,N
32,0,N,0,62,0,N
11,0,N,0,67,0,N
11,0,N,0,60,0,N
20,0,N,0,64,0,N
45,0,N,0,66,0,N
11,0,N,0,62,0,N
20,0,N,0,66,0,N
71,0,N,0,64,0,N
11,0,N,0,65,0,N
11,0,N,0,64,0,N
32,0,N,0,62,0,N
4,0,N,0,63,0,N
20,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,60,0,N
11,0,N,0,63,0,N
88,0,N,0,65,0,N
4,0,N,0,61,0,N
11,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
45,0,N,0,60,0,N
4,0,N,0,62,0,N
11,0,N,0,59,0,N
11,0,N,0,60,0,N
4,0,N,0,62,0,N
20,0,N,0,60,0,N
39,0,N,0,60,0,N
11,0,N,0,59,0,N
88,0,N,0,60,0,N
4,0,N,0,62,0,N
23,0,N,0,61,0,N
45,0,N,0,62,0,N
71,0,N,0,61,0,N
4,0,N,0,58,0,N
20,0,N,0,58,0,N
88,0,N,0,62,0,N
4,0,N,0,60,0,N
11,0,N,0,58,0,N
32,0,N,0,60,0,N
11,0,N,0,61,0,N
20,0,N,0,61,0,N
3,0,N,0,62,0,N
81,0,N,0,60,0,N
39,0,N,0,60,0,N
3,0,N,0,61,0,N
4,0,N,0,61,0,N
11,0,N,0,60,0,N
3,0,N,0,60,0,N
39,0,N,0,60,0,N
81,0,N,0,62,0,N
11,0,N,0,62,0,N
32,0,N,0,60,0,N
34,0,N,0,61,0,N
20,0,N,0,61,0,N
11,0,N,0,62,0,N
3,0,N,0,60,0,N
4,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
11,0,N,0,60,0,N
4,0,N,0,60,0,N
39,0,N,0,60,0,N
20,0,N,0,61,0,N
11,0,N,0,62,0,N
81,0,N,0,60,0,N
4,0,N,0,62,0,N
39,0,N,0,62,0,N
88,0,N,0,60,0,N
4,0,N,0,61,0,N
88,0,N,0,62,0,N
81,0,N,0,62,0,N
20,0,N,0,62,0,N
11,0,N,0,61,0,N
3,0,Y,0,62,0,N
11,0,N,0,61,0,N
31,0,N,0,60,0,N
81,0,N,0,61,0,N
11,0,N,0,60,0,N
88,0,N,0,62,0,N
32,0,N,0,60,0,N
32,0,N,0,58,0,N
11,0,N,0,60,0,N
11,0,N,0,59,0,N
45,0,N,0,61,0,N
11,0,N,0,60,0,N
4,0,N,0,61,0,N
11,0,N,0,60,0,N
20,0,N,0,60,0,N
20,0,N,0,61,0,N
31,0,N,0,60,0,N
88,0,Y,0,62,0,N
4,0,N,0,66,0,N
11,0,Y,0,62,0,N
11,0,N,0,60,0,N
20,0,N,0,61,0,N
20,0,N,0,62,0,N
81,0,N,0,60,0,N
11,0,N,0,60,0,N
48,0,N,0,59,0,N
81,0,N,0,60,0,N
11,0,N,0,60,0,N
45,0,N,0,62,0,N
32,0,N,0,61,0,N
32,0,N,0,61,0,N
20,0,N,0,60,0,N
4,0,N,0,60,0,N
11,0,N,0,65,0,N
20,0,N,0,60,0,N
31,0,N,0,61,0,N
3,0,N,0,61,0,N
11,0,N,0,60,0,N
3,0,N,0,60,0,N
71,0,N,0,60,0,N
39,0,N,0,61,0,N
88,0,N,0,61,0,N
11,0,N,0,61,0,N
4,0,N,0,62,0,N
20,0,N,0,60,0,N
32,0,N,0,62,0,N
90,0,N,0,60,0,N
71,0,N,0,61,0,N
88,0,N,0,65,0,N
4,0,N,0,62,0,N
11,0,N,0,62,0,N
32,0,N,0,60,0,N
31,0,N,0,61,0,N
81,0,N,0,62,0,N
4,0,N,0,59,0,N
20,0,N,0,60,0,N
11,0,N,0,62,0,N
88,0,N,0,60,0,N
 ,0,N,0,62,0,N
88,0,N,0,64,0,N
88,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,58,0,N
11,0,N,0,61,0,N
88,0,N,0,59,0,N
4,0,N,0,61,0,N
81,0,N,0,61,0,N
11,0,N,0,64,0,N
81,0,N,0,60,0,N
4,0,N,0,60,0,N
11,0,N,0,69,0,N
11,0,N,0,63,0,N
48,0,N,0,65,0,N
81,0,N,0,63,0,N
34,0,N,0,59,0,N
4,0,N,0,60,0,N
11,0,N,0,63,0,N
11,0,N,0,68,0,N
20,0,N,0,60,0,N
11,0,N,0,62,0,N
11,0,N,0,62,0,N
11,0,N,0,61,0,N
37,0,N,0,62,0,N
31,0,N,0,60,0,N
11,0,N,0,70,0,N
45,0,N,0,62,0,N
81,0,N,0,60,0,N
71,0,N,0,64,0,N
4,0,N,0,58,0,N
4,0,N,0,66,0,N
11,0,N,0,64,0,N
11,0,N,0,67,0,N
4,0,N,0,67,0,N
88,0,N,0,64,0,N
11,0,N,0,68,0,N
4,0,N,0,60,0,N
4,0,N,0,62,0,N
31,0,N,0,60,0,N
3,0,N,0,58,0,N
11,0,N,0,61,0,N
4,0,N,0,65,0,N
11,0,N,0,67,0,N
11,0,N,0,60,0,N
81,0,N,0,61,0,N
4,0,N,0,64,0,N
4,0,N,0,64,0,N
88,0,N,0,64,0,N
11,0,N,0,61,0,N
11,0,N,0,59,0,N
11,0,N,0,58,0,N
71,0,N,0,58,0,N
11,0,N,0,61,0,N
31,0,N,0,58,0,N
11,0,N,0,59,0,N
81,0,N,0,60,0,N
39,0,N,0,60,0,N
11,0,N,0,63,0,N
11,0,N,0,61,0,N
11,0,N,0,60,0,N
88,0,N,0,59,0,N
3,0,N,0,60,0,N
45,0,N,0,66,0,N
11,0,N,0,62,0,N
11,0,N,0,64,0,N
11,0,N,0,59,0,N
4,0,N,0,58,0,N
31,0,N,0,59,0,N
39,0,N,0,60,0,N
11,0,N,0,65,0,N
31,0,N,0,62,0,N
11,0,N,0,62,0,N
4,0,N,0,62,0,N
11,0,N,0,61,0,N
3,0,N,0,59,0,N
4,0,N,0,60,0,N
81,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,60,0,N
32,0,N,0,62,0,N
11,0,N,0,62,0,N
11,0,N,0,61,0,N
45,0,N,0,59,0,N
11,0,N,0,64,0,N
11,0,N,0,68,0,N
34,0,N,0,59,0,N
23,0,N,0,64,0,N
71,0,N,0,64,0,N
4,0,N,0,67,0,N
4,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,63,0,N
11,0,N,0,67,0,N
32,0,N,0,61,0,N
4,0,N,0,66,0,N
88,0,N,0,68,0,N
11,0,N,0,59,0,N
37,0,N,0,59,0,N
11,0,N,0,60,0,N
4,0,N,0,61,0,N
11,0,N,0,64,0,N
20,0,N,0,65,0,N
20,0,N,0,61,0,N
48,0,N,0,62,0,N
11,0,N,0,60,0,N
88,0,N,0,62,0,N
20,0,N,0,63,0,N
11,0,N,0,61,0,N
4,0,N,0,60,0,N
4,0,N,0,66,0,N
20,0,N,0,61,0,N
4,0,N,0,66,0,N
20,0,N,0,67,0,N
11,0,N,0,66,0,N
20,0,N,0,60,0,N
11,0,N,0,61,0,N
11,0,N,0,59,0,N
11,0,N,0,58,0,N
20,0,Y,0,62,0,N
88,0,N,0,60,0,N
71,0,N,0,60,0,N
4,0,N,0,60,0,N
11,0,N,0,62,0,N
32,0,N,0,61,0,N
81,0,N,0,60,0,N
31,0,N,0,64,0,N
31,0,N,0,58,0,N
31,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,63,0,N
90,0,N,0,59,0,N
20,0,N,0,61,0,N
37,0,N,0,67,0,N
31,0,N,0,59,0,N
11,0,N,0,59,0,N
4,0,N,0,62,0,N
81,0,N,0,62,0,N
11,0,N,0,67,0,N
11,0,N,0,66,0,N
11,0,N,0,64,0,N
81,0,N,0,61,0,N
31,0,N,0,64,0,N
4,0,N,0,62,0,N
11,0,N,0,58,0,N
11,0,N,0,64,0,N
37,0,Y,0,63,0,N
11,0,N,0,61,0,N
4,0,N,0,60,0,N
71,0,N,0,64,0,N
31,0,N,0,65,0,N
11,0,N,0,63,0,N
11,0,N,0,59,0,N
11,0,N,0,65,0,N
4,0,N,0,63,0,N
11,0,N,0,60,0,N
4,0,N,0,66,0,N
11,0,N,0,65,0,N
11,0,N,0,62,0,N
11,0,N,0,67,0,N
31,0,N,0,68,0,N
45,0,N,0,59,0,N
11,0,N,0,62,0,N
7,0,N,0,63,0,N
90,0,N,0,59,0,N
11,0,N,0,59,0,N
11,0,N,0,62,0,N
4,0,N,0,59,0,N
31,0,N,0,60,0,N
11,0,N,0,63,0,N
11,0,N,0,60,0,N
45,0,N,0,66,0,N
11,0,N,0,59,0,N
81,0,N,0,60,0,N
48,0,N,0,60,0,N
11,0,N,0,63,0,N
31,0,N,0,63,0,N
4,0,N,0,64,0,N
4,0,N,0,59,0,N
11,0,N,0,68,0,N
88,0,N,0,59,0,N
34,0,N,0,64,0,N
11,0,N,0,67,0,N
4,0,N,0,67,0,N
11,0,N,0,64,0,N
11,0,N,0,64,0,N
88,0,N,0,60,0,N
81,0,N,0,61,0,N
31,0,N,0,59,0,N
31,0,N,0,69,0,N
81,0,N,0,63,0,N
11,0,N,0,66,0,N
11,0,N,0,67,0,N
20,0,N,0,65,0,N
23,0,Y,0,64,0,N
81,0,N,0,61,0,N
11,0,N,0,68,0,N
11,0,N,0,60,0,N
4,0,N,0,64,0,N
